P,A
0.0,1.0
0.2154308617234469,0.7825651302605211
0.38577154308617234,0.6092184368737474
0.5210420841683366,0.48096192384769537
0.6232464929859719,0.37975951903807614
0.7004008016032064,0.29659318637274545
0.7725450901803608,0.23046092184368738
0.8126252505010021,0.18236472945891782
0.8547094188376754,0.14328657314629256
0.8807615230460922,0.11222444889779559
0.9208416833667336,0.0874749498997996
0.9178356713426854,0.0685370741482966
0.9448897795591182,0.05370741482965932
0.9619238476953907,0.04238476953907815
0.9569138276553106,0.03336673346693387
0.9709418837675351,0.025851703406813628
0.9829659318637275,0.020541082164328657
