P,A
0.0,1.0
0.05323383084577115,0.9034825870646768
0.10547263681592041,0.8477611940298508
0.1601990049751244,0.8059701492537314
0.21691542288557217,0.7472636815920399
0.2776119402985075,0.6865671641791045
0.33333333333333337,0.6268656716417911
0.3970149253731344,0.5671641791044776
0.45572139303482595,0.5114427860696518
0.5243781094527364,0.44577114427860703
0.582089552238806,0.3880597014925374
0.6427860696517413,0.32537313432835824
0.7164179104477613,0.2686567164179105
0.7542288557213931,0.22089552238805973
0.8059701492537314,0.1810945273631841
0.8427860696517414,0.14328358208955225
0.8587064676616917,0.11144278606965176
0.8915422885572141,0.08726368159203982
0.9164179104477613,0.06805970149253732
0.9402985074626866,0.05422885572139304
0.9383084577114429,0.042985074626865676
0.9542288557213932,0.034726368159203984
0.9601990049751244,0.028457711442786072
0.9681592039800996,0.024079601990049753
