A,P,time
1.0,0.0,0.0
0.8291708291708292,0.14185814185814186,0.00491
0.6913086913086913,0.27572427572427577,0.00983
0.5794205794205795,0.3896103896103897,0.0147
0.47452547452547456,0.49750249750249753,0.0197
0.38261738261738265,0.5824175824175825,0.0246
0.3026973026973027,0.6743256743256745,0.0295
0.23676323676323677,0.7402597402597403,0.0344
0.18081918081918083,0.8011988011988014,0.0393
0.13386613386613389,0.8361638361638363,0.0442
0.09920079920079922,0.8741258741258742,0.0491
0.07232767232767234,0.9150849150849152,0.0541
0.05334665334665335,0.9370629370629371,0.059
0.038461538461538464,0.9400599400599401,0.0639
0.028271728271728275,0.9580419580419581,0.0688
0.02167832167832168,0.9640359640359641,0.0737
0.017082917082917086,0.9710289710289711,0.0786
0.014085914085914086,0.9690309690309691,0.0835
0.01198801198801199,0.9790209790209791,0.0885
0.01088911088911089,0.9810189810189811,0.0934
0.009880119880119881,0.9840159840159841,0.0983
0.00942057942057942,0.9790209790209791,0.103
0.009000999000999002,0.9750249750249751,0.108
0.008761238761238762,0.9720279720279721,0.113
0.008721278721278721,0.9990009990009991,0.118
0.008511488511488512,0.9720279720279721,0.123
0.008311688311688312,0.9880119880119881,0.128
0.008311688311688312,0.9890109890109892,0.133
0.008191808191808193,0.9900099900099901,0.138
0.008171828171828172,0.9790209790209791,0.143
0.008171828171828172,0.9830169830169831,0.147
0.008011988011988012,0.9950049950049951,0.152
0.008031968031968033,0.9850149850149851,0.157
0.008181818181818182,0.9950049950049951,0.162
0.008091908091908092,0.9820179820179821,0.167
0.008091908091908092,0.9790209790209791,0.172
