A,P,time
1.0,0.0,0.0
0.879,0.127,0.883
0.76,0.239,1.765
0.671,0.336,2.648
0.579,0.418,3.531
0.511,0.492,4.413
0.442,0.557,5.296
0.394,0.609,6.179
0.344,0.657,7.061
0.304,0.7,7.944
0.263,0.734,8.827
0.232,0.761,9.709
0.205,0.791,10.59
0.179,0.805,11.47
0.159,0.836,12.36
0.141,0.859,13.24
0.127,0.879,14.12
0.112,0.888,15.01
0.0983,0.899,15.89
0.0883,0.92,16.77
0.0779,0.93,17.65
0.0696,0.931,18.54
0.0631,0.927,19.42
0.0564,0.948,20.3
0.0508,0.95,21.18
0.0456,0.954,22.07
0.0414,0.962,22.95
0.0375,0.959,23.83
0.034,0.969,24.71
0.0314,0.989,25.6
0.029,0.967,26.48
