A,P
1.0,0.0
0.05230923694779117,0.05050200803212851
0.04789156626506024,0.10943775100401607
0.044879518072289154,0.16867469879518074
0.04156626506024096,0.22791164658634538
0.03835341365461847,0.28815261044176704
0.03504016064257028,0.34036144578313254
0.03242971887550201,0.3955823293172691
0.029216867469879518,0.44377510040160645
0.02650602409638554,0.5020080321285141
0.023694779116465864,0.5461847389558233
0.021084337349397592,0.6014056224899598
0.018373493975903616,0.6485943775100402
0.016164658634538153,0.678714859437751
0.01395582329317269,0.7299196787148594
0.011847389558232932,0.7710843373493976
0.01,0.8002008032128515
0.008423694779116466,0.8383534136546185
0.006887550200803213,0.8684738955823293
0.005592369477911647,0.9056224899598394
0.0045080321285140565,0.9066265060240964
0.0035843373493975902,0.9307228915662651
0.0028313253012048193,0.9427710843373494
0.002188755020080321,0.963855421686747
0.0017068273092369476,0.9588353413654618
0.0013152610441767069,0.9728915662650602
0.0010140562248995985,0.9799196787148594
0.0,0.9909638554216867
0.0,0.9929718875502008
0.0,0.9909638554216867
0.0,0.9899598393574297
0.0,0.9949799196787149
0.0,1.0060240963855422
