P,A
1.0121827411167512,0.0
0.9309644670050762,0.030558375634517763
0.9065989847715736,0.06121827411167513
0.8710659898477158,0.09238578680203045
0.8416243654822335,0.12284263959390863
0.8040609137055839,0.15228426395939085
0.7776649746192894,0.18274111675126903
0.750253807106599,0.2152284263959391
0.7187817258883249,0.24568527918781727
0.683248730964467,0.27918781725888325
0.6497461928934011,0.3065989847715736
0.6253807106598985,0.3431472081218274
0.5857868020304569,0.3766497461928934
0.5624365482233503,0.4131979695431472
0.5187817258883249,0.44771573604060916
0.4862944162436548,0.48324873096446697
0.44771573604060916,0.5187817258883249
0.4131979695431472,0.5563451776649747
0.3766497461928934,0.5928934010152284
0.3370558375634518,0.6406091370558376
0.2964467005076142,0.6761421319796955
0.25380710659898476,0.7177664974619289
0.21421319796954313,0.7654822335025381
0.1736040609137056,0.8111675126903554
0.13502538071065992,0.8538071065989847
0.09786802030456852,0.8852791878172589
0.06406091370558376,0.9248730964467006
0.03989847715736041,0.9583756345177664
0.024263959390862944,0.9857868020304569
0.015634517766497463,0.9908629441624366
0.011472081218274111,0.9959390862944162
0.009675126903553299,1.0
