A,P
1.0,0.0
0.08031809145129225,0.09552683896620279
0.07216699801192843,0.1848906560636183
0.0640159045725646,0.27335984095427435
0.05616302186878728,0.3558648111332008
0.04880715705765407,0.43737574552683894
0.043041749502982105,0.49801192842942343
0.037276341948310136,0.5656063618290258
0.032107355864811137,0.6262425447316103
0.027335984095427434,0.668986083499006
0.023558648111332008,0.7147117296222664
0.02047713717693837,0.7614314115308152
0.01749502982107356,0.7833001988071571
0.01540755467196819,0.8081510934393638
0.013518886679920477,0.8280318091451292
0.012027833001988071,0.8369781312127236
0.010934393638170973,0.8578528827037774
0.010139165009940358,0.8767395626242545
0.009403578528827037,0.885685884691849
0.008956262425447318,0.8767395626242545
0.008538767395626243,0.8876739562624255
