A,P,time
1.0,0.0,0.0
0.649848637739657,0.3218970736629667,26.9
0.5055499495459133,0.46215943491422806,53.81
0.40766902119071646,0.5519677093844602,80.71
0.3410696266397579,0.6236125126135217,108.0
0.2906155398587285,0.669021190716448,135.0
0.24419778002018164,0.7265388496468214,161.0
0.20988900100908173,0.751765893037336,188.0
0.18365287588294651,0.7719475277497477,215.0
0.1584258324924319,0.7951564076690212,242.0
0.14026236125126137,0.8193743693239153,269.0
0.1231079717457114,0.8446014127144298,296.0
0.10797174571140263,0.8476286579212916,323.0
0.09566094853683148,0.863773965691221,350.0
0.08647830474268416,0.8698284561049445,377.0
0.07658930373360241,0.8789101917255298,404.0
0.06791120080726538,0.8789101917255298,430.0
0.062462159434914226,0.8980827447023209,457.0
0.0562058526740666,0.9021190716448032,484.0
0.0508577194752775,0.8980827447023209,511.0
0.04621594349142281,0.9182643794147326,538.0
0.04238143289606459,0.9152371342078709,565.0
