A,P
0.0,0.0
0.08683651804670914,0.8460721868365182
0.12632696390658174,0.8110403397027601
0.1645435244161359,0.7866242038216561
0.2059447983014862,0.7409766454352441
0.2399150743099788,0.7027600849256901
0.2760084925690022,0.6709129511677283
0.3174097664543524,0.6369426751592356
0.3545647558386412,0.5997876857749469
0.39278131634819535,0.5583864118895967
0.42781316348195336,0.5191082802547771
0.4766454352441614,0.48938428874734613
0.5095541401273885,0.45329087048832273
0.5456475583864119,0.41932059447983017
0.5881104033970277,0.3874734607218684
0.6157112526539278,0.35138004246284504
0.6528662420382166,0.3195329087048832
0.6910828025477708,0.2887473460721869
0.7229299363057325,0.2537154989384289
0.7643312101910829,0.22399150743099788
0.7866242038216561,0.1921443736730361
0.8237791932059448,0.1645435244161359
0.8609341825902337,0.13481953290870488
0.881104033970276,0.10828025477707007
0.9055201698513801,0.08598726114649682
0.9384288747346072,0.06422505307855626
0.9649681528662422,0.04734607218683652
0.9755838641188961,0.03386411889596603
0.9925690021231424,0.024522292993630575
0.9978768577494692,0.018471337579617834
1.0,0.0148619957537155
0.9957537154989384,0.012420382165605096
