A,P,time
0.0,1.0417536534446765,0.0
0.17536534446764093,0.8674321503131524,2561.0
0.3048016701461378,0.7181628392484342,5122.0
0.4039665970772443,0.6200417536534447,7684.0
0.49164926931106473,0.5375782881002088,10245.0
0.5563674321503133,0.4739039665970773,12806.0
0.6106471816283925,0.41962421711899794,15367.0
0.662839248434238,0.3674321503131524,17928.0
0.7129436325678498,0.31941544885177453,20489.0
0.7359081419624217,0.291231732776618,23050.0
0.7703549060542798,0.2588726513569937,25612.0
0.8037578288100209,0.23173277661795408,28173.0
0.8277661795407099,0.20563674321503134,30734.0
0.8413361169102297,0.18267223382045927,33295.0
0.8684759916492693,0.16492693110647183,35856.0
0.8716075156576201,0.14718162839248433,38418.0
0.8883089770354906,0.1315240083507307,40979.0
0.9091858037578289,0.11899791231732777,43540.0
0.919624217118998,0.10751565762004175,46101.0
0.9342379958246347,0.09645093945720251,48662.0
0.9331941544885178,0.08622129436325679,51223.0
0.9498956158663884,0.07724425887265135,53784.0
0.9582463465553237,0.07077244258872652,56346.0
0.965553235908142,0.06336116910229644,58907.0
0.9707724425887266,0.05803757828810021,61468.0
0.9749478079331942,0.05104384133611691,64029.0
0.9895615866388309,0.0465553235908142,66590.0
0.9874739039665971,0.041962421711899796,69152.0
0.9822546972860126,0.037369519832985386,71713.0
1.0,0.03423799582463466,74274.0
0.988517745302714,0.030688935281837162,76835.0
