P,A
0.0,1.0
0.04091816367265469,0.8782435129740519
0.08213572854291416,0.8552894211576846
0.12375249500998003,0.8093812375249502
0.16566866267465072,0.7624750499001997
0.21357285429141717,0.718562874251497
0.25349301397205587,0.6796407185628743
0.3013972055888223,0.6397205588822356
0.34730538922155685,0.5988023952095808
0.3922155688622755,0.5469061876247505
0.4421157684630739,0.49800399201596807
0.49500998003992014,0.45109780439121755
0.5389221556886228,0.40219560878243515
0.5948103792415169,0.35728542914171657
0.6407185628742516,0.31137724550898205
0.6946107784431137,0.26047904191616766
0.7445109780439122,0.21357285429141717
0.7884231536926148,0.17065868263473055
0.8333333333333333,0.1277445109780439
0.8672654690618763,0.09381237524950099
0.8982035928143712,0.06636726546906188
0.9241516966067864,0.04780439121756487
0.9590818363273452,0.0375249500998004
0.9461077844311376,0.032335329341317366
0.9660678642714571,0.029540918163672655
