A,P,time
1.0,0.0,0.0
0.8097609561752988,0.18426294820717132,0.0115
0.647410358565737,0.3436254980079681,0.023
0.5258964143426295,0.47111553784860555,0.0345
0.42131474103585653,0.5627490039840637,0.046
0.33864541832669326,0.646414342629482,0.0575
0.2729083665338646,0.7250996015936255,0.069
0.2201195219123506,0.7739043824701195,0.0805
0.17629482071713146,0.802788844621514,0.092
0.14243027888446214,0.853585657370518,0.104
0.11254980079681275,0.8814741035856574,0.115
0.09243027888446215,0.9023904382470119,0.127
0.07400398406374502,0.9163346613545817,0.138
0.0597609561752988,0.9213147410358566,0.15
0.04820717131474103,0.9352589641434262,0.161
0.039940239043824696,0.9362549800796812,0.173
0.03237051792828685,0.9581673306772908,0.184
0.02659362549800797,0.9651394422310756,0.196
0.022211155378486055,0.9681274900398406,0.207
0.01862549800796813,0.9671314741035856,0.219
0.015537848605577689,0.9731075697211156,0.23
0.013346613545816734,0.9741035856573705,0.242
0.011553784860557768,0.9770916334661355,0.253
0.010059760956175298,0.9850597609561753,0.265
0.008864541832669322,0.9920318725099602,0.276
