A,P
1.0,0.0
0.2522432701894317,0.12562313060817548
0.1914257228315055,0.26620139581256236
0.15752741774675974,0.39381854436689934
0.127617148554337,0.5024925224327019
0.10568295114656033,0.6021934197407777
0.08664007976071786,0.6650049850448655
0.07008973080757727,0.7278165503489532
0.057926221335992026,0.7826520438683949
0.0481555333998006,0.8075772681954139
0.040179461615154545,0.839481555333998
0.03469591226321037,0.8693918245264208
0.03030907278165504,0.8614157527417747
0.027018943170488537,0.889332003988036
0.024227318045862416,0.9002991026919244
0.022632103688933203,0.9152542372881357
0.021236291126620142,0.9172482552342972
