A,P,time
1.0,0.0,0.0
0.8308308308308308,0.12512512512512514,0.259
0.7127127127127126,0.25625625625625625,0.517
0.5945945945945945,0.3743743743743744,0.776
0.4874874874874875,0.4894894894894895,1.034
0.39739739739739743,0.5725725725725725,1.293
0.3153153153153153,0.6546546546546547,1.552
0.24824824824824826,0.7357357357357357,1.81
0.1951951951951952,0.7927927927927928,2.069
0.15115115115115116,0.8408408408408408,2.328
0.11511511511511512,0.8808808808808809,2.586
0.0873873873873874,0.8928928928928929,2.845
0.06616616616616618,0.936936936936937,3.103
0.05015015015015015,0.9429429429429429,3.362
0.03853853853853854,0.9589589589589589,3.621
0.02962962962962963,0.950950950950951,3.879
0.02302302302302302,0.973973973973974,4.138
