A,P,time
0.0,1.0235173824130879,0.0
0.05030674846625767,0.9141104294478528,0.498
0.09897750511247444,0.8824130879345603,0.997
0.14826175869120653,0.8261758691206544,1.495
0.19529652351738241,0.778118609406953,1.994
0.24642126789366053,0.7341513292433538,2.492
0.2903885480572597,0.6820040899795502,2.99
0.3353783231083845,0.6370143149284254,3.489
0.38241308793456036,0.5879345603271984,3.987
0.434560327198364,0.5572597137014316,4.485
0.4764826175869121,0.5010224948875256,4.984
0.5173824130879345,0.45910020449897754,5.482
0.5613496932515338,0.4141104294478528,5.981
0.6022494887525562,0.37116564417177916,6.479
0.6451942740286298,0.33640081799591004,6.977
0.679959100204499,0.2934560327198364,7.476
0.7239263803680981,0.25869120654396727,7.974
0.7535787321063395,0.2167689161554192,8.473
0.7965235173824131,0.1820040899795501,8.971
0.8261758691206544,0.15337423312883436,9.469
0.8680981595092024,0.12065439672801635,9.968
0.8946830265848671,0.09314928425357874,10.47
0.9243353783231084,0.07177914110429448,10.96
0.9294478527607363,0.05276073619631902,11.46
0.9662576687116564,0.037934560327198365,11.96
0.9775051124744376,0.026891615541922292,12.46
0.9928425357873211,0.019631901840490795,12.96
0.9918200408997955,0.014519427402862987,13.46
0.9959100204498977,0.011349693251533743,13.95
1.0,0.009151329243353783,14.45
0.9856850715746421,0.007719836400817997,14.95
0.9959100204498977,0.006942740286298568,15.45
