P,A
0.0,1.0
0.025981873111782478,0.9556898288016112
0.051661631419939576,0.9284994964753274
0.07865055387713998,0.9164149043303123
0.10574018126888217,0.8761329305135952
0.13293051359516617,0.8429003021148036
0.16414904330312186,0.8136958710976838
0.19234642497482377,0.796576032225579
0.22356495468277945,0.7593152064451159
0.2537764350453172,0.7321248741188318
0.2849949647532729,0.7009063444108761
0.3162134944612286,0.6656596173212488
0.35347432024169184,0.6314199395770392
0.3867069486404834,0.6012084592145015
0.42497482376636453,0.5649546827794563
0.46223564954682783,0.5236656596173213
0.5025176233635448,0.4823766364551863
0.5427995971802618,0.4511581067472306
0.5790533736153071,0.39979859013091645
0.6253776435045317,0.3564954682779456
0.6777442094662639,0.3121852970795569
0.7200402819738166,0.2578046324269889
0.7875125881168178,0.20745216515609263
0.8459214501510574,0.15206445115810674
0.8972809667673716,0.09697885196374623
0.9456193353474319,0.051963746223564956
0.9788519637462235,0.024572004028197383
0.9879154078549849,0.012487411883182276
0.9919436052366566,0.008892245720040281
1.002014098690836,0.007784491440080564
1.0,0.0075730110775428
