A,P
1.0,0.0
0.8393213572854291,0.020858283433133732
0.7015968063872255,0.07115768463073853
0.5888223552894212,0.13273453093812376
0.49800399201596807,0.1996007984031936
0.4241516966067864,0.2694610778443114
0.36127744510978044,0.3413173652694611
0.31037924151696605,0.40718562874251496
0.2634730538922156,0.4730538922155688
0.22554890219560877,0.5299401197604791
0.19461077844311378,0.5838323353293413
0.16766467065868265,0.6367265469061877
0.14471057884231536,0.686626746506986
0.12275449101796407,0.7265469061876247
0.10678642714570859,0.7475049900199601
0.09081836327345309,0.7874251497005988
0.07784431137724551,0.8153692614770458
0.06836327345309381,0.844311377245509
0.058383233532934134,0.8612774451097804
0.0499001996007984,0.875249500998004
0.0437125748502994,0.8832335329341318
0.0375249500998004,0.8992015968063872
0.032135728542914174,0.9111776447105788
0.02784431137724551,0.9171656686626747
0.024351297405189622,0.936127744510978
0.020858283433133732,0.9391217564870259
0.018363273453093812,0.9471057884231536
0.01586826347305389,0.9401197604790419
0.013972055888223553,0.9481037924151696
0.012275449101796407,0.9481037924151696
0.010878243512974051,0.9530938123752495
