A,P
0.0,0.0
0.10054171180931744,0.80931744312026
0.2275189599133261,0.7367280606717227
0.3380281690140845,0.6489707475622968
0.42145178764897073,0.5666305525460456
0.49729144095341277,0.5005417118093174
0.5677139761646803,0.4387865655471289
0.6110509209100757,0.390032502708559
0.6793066088840737,0.342361863488624
0.7031419284940411,0.30444203683640303
0.7432286023835319,0.27302275189599134
0.7778981581798483,0.24810400866738894
0.799566630552546,0.2199349945828819
0.828819068255688,0.19934994582881907
0.8450704225352113,0.17876489707475623
0.8656554712892741,0.16034669555796316
0.8884073672806067,0.14626218851570966
0.8981581798483206,0.1321776814734561
0.9176598049837486,0.12026002166847237
0.9360780065005416,0.1094257854821235
0.9393282773564463,0.09924160346695557
0.9349945828819067,0.09165763813651137
0.9566630552546045,0.0827735644637053
0.9501625135427952,0.07681473456121343
0.9588299024918743,0.07150595882990249
0.9729144095341278,0.06500541711809317
0.9718309859154929,0.05937161430119176
0.9848320693391116,0.0561213434452871
0.9761646803900325,0.051895991332611045
0.9859154929577465,0.04832069339111592
0.9913326110509209,0.04517876489707476
0.9978331527627302,0.04225352112676056
1.0,0.04008667388949079
