A,P,time
1.0,0.0,0.0
0.9224652087475149,0.057256461232604375,2.452
0.8588469184890656,0.1143141153081511,4.904
0.8071570576540756,0.16998011928429424,7.357
0.7524850894632207,0.22365805168986083,9.809
0.6968190854870775,0.28727634194831014,12.26
0.6351888667992048,0.3320079522862823,14.71
0.5924453280318092,0.38767395626242546,17.17
0.5397614314115309,0.44930417495029823,19.62
0.4930417495029821,0.4990059642147117,22.07
0.4403578528827038,0.5367793240556661,24.52
0.3866799204771372,0.5984095427435387,26.97
0.3399602385685885,0.643141153081511,29.43
0.2982107355864811,0.679920477137177,31.88
0.25944333996023855,0.7216699801192843,34.33
0.22067594433399604,0.7703777335984096,36.78
0.18290258449304175,0.7932405566600398,39.24
0.15109343936381708,0.8290258449304174,41.69
0.12226640159045725,0.8648111332007952,44.14
0.09671968190854871,0.8906560636182903,46.59
0.07673956262425448,0.9085487077534792,49.04
0.059145129224652086,0.9174950298210736,51.5
0.045228628230616304,0.9443339960238568,53.95
0.034691848906560636,0.9622266401590457,56.4
0.02743538767395626,0.9642147117296223,58.85
0.021272365805168985,0.9642147117296223,61.31
0.017296222664015905,0.9691848906560636,63.76
0.01441351888667992,0.9801192842942346,66.21
