A,P
1.0,0.0
0.05580933465739822,0.029990069513406162
0.05372393247269117,0.06146971201588878
0.051340615690168824,0.09106256206554122
0.04905660377358491,0.12115193644488581
0.04776564051638531,0.15392254220456805
0.04687189672293943,0.1807348560079444
0.04419066534260179,0.21251241310824232
0.042204568023833176,0.24428997020854024
0.040417080436941415,0.27408142999006957
0.03882820258192652,0.3028798411122145
0.03723932472691162,0.33862959285004973
0.03515392254220457,0.36643495531281034
0.03296921549155909,0.3922542204568024
0.031380337636544194,0.42502482621648463
0.029592850049652435,0.45382323733862967
0.027706057596822247,0.48560079443892756
0.026315789473684213,0.5084409136047667
0.02383316782522344,0.5491559086395235
0.022542204568023836,0.5789473684210527
0.020357497517378354,0.6077457795431976
0.01886792452830189,0.6355511420059584
0.016683217477656404,0.6653426017874877
0.014796425024826218,0.6931479642502483
0.013207547169811321,0.7229394240317776
0.011519364448857995,0.7437934458788481
0.00961271102284012,0.7735849056603775
0.008133068520357497,0.8013902681231382
0.0064746772591857005,0.8252234359483616
0.0048460774577954325,0.8550148957298909
0.00339622641509434,0.8897715988083417
0.002174776564051639,0.9006951340615691
0.0013406156901688184,0.9225422045680239
0.0,0.9384309831181729
0.0,0.9364448857994042
0.0,0.9394240317775572
0.0,0.945382323733863
0.0,0.9463753723932473
0.0,0.9622641509433963
