P,A
1.0468262226847034,0.0
0.9240374609781478,0.09146722164412072
0.8543184183142559,0.17273673257023936
0.7710718002081166,0.24245577523413114
0.712799167533819,0.31217481789802287
0.6462018730489074,0.37877211238293446
0.5889698231009365,0.43496357960457854
0.5244536940686785,0.49323621227887615
0.4755463059313216,0.5504682622268471
0.42351716961498437,0.5983350676378771
0.38189386056191466,0.6430801248699272
0.34235171696149846,0.6878251821019772
0.3048907388137357,0.7200832466181061
0.2705515088449532,0.7419354838709677
0.24453694068678458,0.777315296566077
0.21748178980228927,0.8085327783558793
0.1935483870967742,0.8314255983350677
0.1696149843912591,0.8532778355879292
0.15088449531737771,0.8761706555671176
0.13423517169614985,0.8959417273673257
0.11862643080124871,0.9125910509885536
0.10718002081165452,0.9229968782518211
0.09344432882414153,0.9448491155046826
0.08366285119667013,0.9490114464099897
0.07429760665972945,0.9510926118626432
0.06503642039542144,0.9625390218522374
0.058584807492195634,0.9781477627471383
0.052133194588969825,0.9698231009365246
0.04620187304890739,0.983350676378772
0.04151925078043704,0.9885535900104058
0.0372528616024974,0.9947970863683663
0.0331945889698231,1.0
