A,P,time
1.0,0.0,0.0
0.8780487804878049,0.11178861788617886,35.33
0.7723577235772358,0.21951219512195122,70.67
0.676829268292683,0.3201219512195122,106.0
0.5833333333333333,0.40752032520325204,141.0
0.49796747967479676,0.4969512195121951,177.0
0.41361788617886175,0.5813008130081301,212.0
0.3455284552845529,0.6473577235772358,247.0
0.2896341463414634,0.7113821138211381,283.0
0.2378048780487805,0.766260162601626,318.0
0.19207317073170732,0.8109756097560976,353.0
0.15447154471544716,0.8465447154471545,389.0
0.12703252032520326,0.8810975609756098,424.0
0.10365853658536585,0.9044715447154472,459.0
0.08434959349593496,0.9227642276422765,495.0
0.07032520325203252,0.934959349593496,530.0
0.05975609756097561,0.951219512195122,565.0
0.05203252032520325,0.959349593495935,601.0
0.04583333333333334,0.9573170731707317,636.0
