A,P
1.0,0.0
0.16867469879518074,0.1184738955823293
0.09738955823293173,0.27108433734939763
0.07921686746987952,0.39357429718875503
0.06606425702811244,0.4919678714859438
0.055321285140562254,0.573293172690763
0.046285140562249,0.643574297188755
0.038554216867469876,0.6937751004016064
0.03293172690763053,0.7369477911646586
0.02781124497991968,0.7801204819277109
0.023694779116465864,0.8102409638554218
0.02038152610441767,0.8413654618473895
0.017670682730923697,0.858433734939759
0.015261044176706828,0.8644578313253012
0.01325301204819277,0.893574297188755
0.011646586345381526,0.9056224899598394
0.009969879518072289,0.9116465863453815
0.00887550200803213,0.9206827309236948
0.007851405622489961,0.9337349397590362
0.006967871485943775,0.9477911646586344
0.006094377510040161,0.9487951807228915
0.005512048192771084,0.9447791164658634
0.004929718875502008,0.9437751004016064
0.004397590361445784,0.9608433734939759
0.003955823293172691,0.9518072289156626
