A,P,time
1.0,0.0,0.0
0.8343313373253493,0.1467065868263473,245.0
0.7095808383233533,0.2754491017964072,490.0
0.6147704590818364,0.3782435129740519,734.0
0.5249500998003992,0.46506986027944114,979.0
0.4560878243512974,0.5369261477045909,1224.0
0.3982035928143713,0.5988023952095808,1469.0
0.35429141716566864,0.6357285429141717,1714.0
0.3193612774451098,0.6756487025948105,1958.0
0.2924151696606786,0.6916167664670658,2203.0
0.2714570858283433,0.716566866267465,2448.0
0.2574850299401198,0.7385229540918163,2693.0
0.24550898203592814,0.7564870259481038,2938.0
0.23353293413173654,0.7624750499001997,3182.0
0.22754491017964074,0.7724550898203593,3427.0
0.2215568862275449,0.7704590818363274,3672.0
